<NetIntInterfaces>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node,Interface,IGPMetric,MetricISISLevel1,Capacity,PolicyGroup,TEMetric,TEEnabled,ResvBW,PCMinLinks,PCMinBW,FRREnabled,Area,ISISLevel,Affinities,Description,NetIntIndex,NetIntContainerIndex,NetIntType,NetIntAdminStatus,NetIntOperStatus,NetIntSubnet,Type,Aggregated,AggregatedInside,OnTopOf,NetIntNetMask,NetIntSrlg,VPNNode,Place,IPAddress,FlowReceived,NetInt::PhysAddress
EDTNABTFVCA01,EDTNABTFVRE01,,,0,Default,,,,,,T,,,,,4,,150,up,up,,,,,,,,,external,,,
EDTNABTFVCA01,EDTNABTFVRE02,,,0,Default,,,,,,T,,,,,5,,1,up,up,,,,,,,,,external,,,
EDTNABTFVCA01,EDTNABTFVCA02,,,0,Default,,,,,,T,,,,,6,,24,up,up,,,,,,,,,external,,,
EDTNABTFVCA01,EDTNABTFVCA03,,,0,Default,,,,,,T,,,,,7,,1,up,up,,,,,,,,,external,,,
EDTNABTFVCA01,EDTNABTFVMX01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA02,EDTNABTFVRE02,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA02,EDTNABTFVRE01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA02,EDTNABTFVCA01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA02,EDTNABTFVCA04,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA02,EDTNABTFVMX,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA03,EDTNABTFVRE01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA03,EDTNABTFVRE02,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA03,EDTNABTFVCA02,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA03,EDTNABTFVCA01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA03,10/100/Gig,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA04,EDTNABTFVRE02,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA04,EDTNABTFVRE01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA04,EDTNABTFVCA01,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA04,EDTNABTFVCA04,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
EDTNABTFVCA04,10/100/Gig,,,0,Default,,,,,,T,,,,,8,,131,up,up,,,,,,,,,external,,,
